"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.2","18.7","100"
"2",2019-03-25 02:00:00,"0.0","1012.2","18.7","100"
"3",2019-03-25 03:00:00,"0.0","1012.6","18.5","100"
"4",2019-03-25 04:00:00,"0.0","1012.8","18.6","100"
"5",2019-03-25 05:00:00,"0.0","1013.3","18.8","100"
"6",2019-03-25 06:00:00,"0.0","1013.3","18.8","100"
"7",2019-03-25 07:00:00,"0.0","1013.7","19.0","100"
"8",2019-03-25 08:00:00,"0.0","1014.4","19.7","100"
"9",2019-03-25 09:00:00,"0.0","1015.4","20.1","100"
"10",2019-03-25 10:00:00,"0.5","1015.5","20.2","100"
"11",2019-03-25 11:00:00,"0.5","1015.8","19.9","100"
"12",2019-03-25 12:00:00,"0.5","1015.7","20.0","100"
"13",2019-03-25 13:00:00,"0.5","1015.2","18.0","100"
"14",2019-03-25 14:00:00,"2.0","1014.3","17.8","100"
"15",2019-03-25 15:00:00,"0.0","1013.8","19.7","100"
"16",2019-03-25 16:00:00,"0.0","1014.1","20.9","100"
"17",2019-03-25 17:00:00,"0.0","1013.8","20.9","100"
"18",2019-03-25 18:00:00,"0.0","1013.8","20.6","100"
"19",2019-03-25 19:00:00,"0.0","1013.9","20.2","100"
"20",2019-03-25 20:00:00,"0.0","1014.4","20.0","100"
"21",2019-03-25 21:00:00,"0.0","1014.9","19.8","100"
"22",2019-03-25 22:00:00,"0.0","1015.5","19.6","100"
"23",2019-03-25 23:00:00,"0.0","1015.4","19.3","100"
"24",2019-03-26 00:00:00,"0.0","1015.5","19.5","100"
