"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.7","17.4","100"
"2",2019-03-25 02:00:00,"0.0","1010.6","17.1","100"
"3",2019-03-25 03:00:00,"0.0","1010.5","17.0","100"
"4",2019-03-25 04:00:00,"0.0","1010.6","17.4","100"
"5",2019-03-25 05:00:00,"0.0","1011.1","17.3","100"
"6",2019-03-25 06:00:00,"0.0","1011.6","17.8","100"
"7",2019-03-25 07:00:00,"0.0","1011.6","17.7","100"
"8",2019-03-25 08:00:00,"0.0","1012.6","18.4","100"
"9",2019-03-25 09:00:00,"1.0","1013.0","18.5","100"
"10",2019-03-25 10:00:00,"1.0","1012.9","18.3","100"
"11",2019-03-25 11:00:00,"3.5","1013.5","18.6","100"
"12",2019-03-25 12:00:00,"0.0","1012.8","18.9","100"
"13",2019-03-25 13:00:00,"1.0","1012.9","19.2","100"
"14",2019-03-25 14:00:00,"9.5","1012.5","18.4","100"
"15",2019-03-25 15:00:00,"0.5","1012.0","18.9","100"
"16",2019-03-25 16:00:00,"0.0","1012.3","18.7","100"
"17",2019-03-25 17:00:00,"0.0","1012.2","18.2","100"
"18",2019-03-25 18:00:00,"0.0","1012.6","18.3","100"
"19",2019-03-25 19:00:00,"0.0","1013.0","18.1","100"
"20",2019-03-25 20:00:00,"0.0","1013.7","18.3","100"
"21",2019-03-25 21:00:00,"0.0","1014.7","17.8","100"
"22",2019-03-25 22:00:00,"0.0","1015.2","17.6","100"
"23",2019-03-25 23:00:00,"0.5","1015.4","17.5","100"
"24",2019-03-26 00:00:00,"X","1015.7","17.2","100"
