"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"...","...","...","..."
"2",2019-03-25 02:00:00,"...","...","...","..."
"3",2019-03-25 03:00:00,"...","...","...","..."
"4",2019-03-25 04:00:00,"...","...","...","..."
"5",2019-03-25 05:00:00,"...","...","...","..."
"6",2019-03-25 06:00:00,"...","...","...","..."
"7",2019-03-25 07:00:00,"...","...","...","..."
"8",2019-03-25 08:00:00,"...","...","...","..."
"9",2019-03-25 09:00:00,"...","...","...","..."
"10",2019-03-25 10:00:00,"...","...","...","..."
"11",2019-03-25 11:00:00,"...","...","...","..."
"12",2019-03-25 12:00:00,"...","...","...","..."
"13",2019-03-25 13:00:00,"...","...","...","..."
"14",2019-03-25 14:00:00,"...","...","...","..."
"15",2019-03-25 15:00:00,"...","...","...","..."
"16",2019-03-25 16:00:00,"...","...","...","..."
"17",2019-03-25 17:00:00,"...","...","...","..."
"18",2019-03-25 18:00:00,"...","...","...","..."
"19",2019-03-25 19:00:00,"...","...","...","..."
"20",2019-03-25 20:00:00,"...","...","...","..."
"21",2019-03-25 21:00:00,"...","...","...","..."
"22",2019-03-25 22:00:00,"...","...","...","..."
"23",2019-03-25 23:00:00,"...","...","...","..."
"24",2019-03-26 00:00:00,"...","...","...","..."
